Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.55.7907,0.07125949034121634,0,0.052833380581120915,0.06679448338773077,0,0.10357200182358958,0,0.10884930114236042,0.052121911658413324,0,0,0.016883150972797478,0,0.08713877351483701,0.14777201828964734,0.23677952141363282,0,0,0.055995966874654114,0,0,0,0.008,0.2808998403203022,0.972662931332071
TCGA.55.7910,0.0877456802493307,0,0.2844330138262535,0,0,0.1582477864429326,0.033750217873792766,0.07242626840904556,0.011527437407482511,0,0.051178268918339646,0,0,0.1238594575850358,0.0060251382616946176,0.07273367999597315,0,0.07335052134805956,0,0.005272501233994136,0,0.01945002844806542,0.244,0.06685915944083484,1.035809039109154
TCGA.55.7911,0.024070102209616275,0,0,0.026942936366644896,0,0.18778064988375837,0.05181983878002012,0.11632571317040376,0.03106507099522473,0,0.08883128179855021,0,0.008381647977044103,0,0.026920493160736136,0.2110068987401931,0,0.20792333019870132,0.018932036719106975,0,0,0,0.008,0.2726194893117908,0.9785451474144429
TCGA.55.7914,0,0.06494684384720419,0.21739925223142026,0.0762960827975922,0,0.23140782249994793,0.01168199634604944,0.03143080835058647,0.046243328961029395,0,0.02267155331068676,0,0.0011220735093306561,0.043616367890033036,0.05992229385409709,0.11915508584753047,0,0.029534731588042,0.04457175896645008,0,0,0,0.058,0.14587332556725585,1.0144231913146107
TCGA.55.8090,0.030765495003047514,0.023108679755811937,0.004830989043558006,0.02212707079557283,0,0.1879339330723514,0.0034735905101661736,0.05013159628830266,0.034576458740421326,0,0.03284828291421912,0,0.041273893845988056,0.13177662280531127,0.04148946891591197,0.31402212045663114,0.0417028851902683,0,0.033810715596611605,0,0,0.00612819706582673,0.024,0.17263770811164186,1.0207228630005825
TCGA.55.8094,0.12368715837480146,0,0.024024127242902434,0.016770652302374702,0,0.026887385113865105,0,0.19815462988071464,0,0,0.0016201029612879494,0.0388089625393105,0.0005,0.14463387143710726,0,0.14973746265485435,0,0.22573377605689438,0.049474368352290625,0,0,0,0.411,0.03634514406577944,1.077483888967845
TCGA.55.8097,0.04052671948559717,0.043875105847799106,0.01009903044529547,0.04276513062513298,0,0.16988843802308742,0,0.11254490098656264,0.009570105495277469,0,0.007274136873759271,0,0.008692599830762314,0,0.022933534780573854,0.28388717639781735,0.07667365224715617,0.03207099585942507,0.13919847310175373,0,0,0,0.023,0.17681681618288383,1.0082560957252276
TCGA.55.8207,0,0,0.0046248671804335634,0.033253622433906456,0,0.10723866810066697,0,0.058052950896544143,0.01901642692218607,0,0,0.0043064514837665374,0.0330618524635554,0.20197158877318003,0,0.31264781791700996,0.022260356584312628,0.060118300063293745,0.13371962726005293,0,0,0.009727469921091681,0.022,0.17896363790677955,1.027414980164127
TCGA.55.8302,0.0008,0.04097174227549486,0.03553196959246466,0.08757037593277,0,0.11543380311115314,0.003925762380480042,0.11126646400416758,0.04207105264308598,0,0.045868416879668694,0,0.054529550600115766,0.09593932256257685,0.08938993287025976,0.2112638993243237,0,0.022134835698234278,0.04329833103324638,0,0,0,0.029,0.1680660595251898,1.0162044061112216
TCGA.55.8512,0.0017611076664712237,0,0.09685225121271128,0,0,0.2304735890240349,0,0.03814916175612937,0.0023626863672326433,0,0.05125680983257896,0.0648404268052087,0.019754475081695245,0.0662190363534843,0.007900361624021482,0.16784804388653676,0,0.004986551774599529,0.16317674948470634,0,0,0.08441874913058921,0.528,0.020278925668896757,1.070577828012458
